Dialogue ID,Chapter ID,Dialogue,Character Name,Character ID,Species,Gender,House,Patronus,Wand (Wood),Wand (Core),Place ID,Place Name,Place Category
1,1,I should have known that you would be here...Professor McGonagall.,Albus Dumbledore,4,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,8,4 Privet Drive,Dwellings
2,1,"Good evening, Professor Dumbledore. Are the rumours true, Albus?",Minerva McGonagall,7,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,8,4 Privet Drive,Dwellings
3,1,"I'm afraid so, Professor. The good, and the bad.",Albus Dumbledore,4,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,8,4 Privet Drive,Dwellings
4,1,And the boy?,Minerva McGonagall,7,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,8,4 Privet Drive,Dwellings
5,1,Hagrid is bringing him.,Albus Dumbledore,4,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,8,4 Privet Drive,Dwellings
6,1,Do you think it wise to trust Hagrid with something as important as this?,Minerva McGonagall,7,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,8,4 Privet Drive,Dwellings
7,1,"Ah, Professor, I would trust Hagrid with my life.",Albus Dumbledore,4,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,8,4 Privet Drive,Dwellings
8,1,"Professor Dumbledore, Sir. Professor McGonagall.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,8,4 Privet Drive,Dwellings
9,1,"No problems, I trust, Hagrid?",Albus Dumbledore,4,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,8,4 Privet Drive,Dwellings
10,1,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,8,4 Privet Drive,Dwellings
11,1,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...",Minerva McGonagall,7,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,8,4 Privet Drive,Dwellings
12,1,The only family he has.,Albus Dumbledore,4,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,8,4 Privet Drive,Dwellings
13,1,This boy will be famous. There won't be a child in our world who doesn't know his name.,Minerva McGonagall,7,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,8,4 Privet Drive,Dwellings
14,1,Exactly. He's better off growing up away from all that. Until he is ready.,Albus Dumbledore,4,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,8,4 Privet Drive,Dwellings
15,1,"There, there, Hagrid. It's not really goodbye, after all.",Albus Dumbledore,4,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,8,4 Privet Drive,Dwellings
16,1,Good luck...Harry Potter.,Albus Dumbledore,4,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,8,4 Privet Drive,Dwellings
17,2,Up. Get up.  Now!,Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
18,2,"Wake up, cousin! We're going to the zoo!",Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
19,2,"Oh, here he comes, the birthday boy!",Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
20,2,"Happy birthday, son.",Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
21,2,"Why don't you just cook the breakfast, and try not to burn anything.",Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
22,2,"Yes, Aunt Petunia.",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
23,2,I want everything to be perfect for my Dudley's special day.,Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
24,2,"Hurry up! Bring my coffee, boy!",Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
25,2,"Yes, Uncle Vernon.",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
26,2,"Aren't they wonderful, darling?",Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
27,2,How many are there?,Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
28,2,Thirty-six. Counted 'em myself.,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
29,2,Thirty-six?! But last year last year I had thirty-seven!!,Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
30,2,"Err yes, well, some of them are quite a bit bigger than last year.",Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
31,2,I don't care how big they are!,Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
32,2,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?",Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
33,2,This will be a lovely day at the zoo. I'm really looking forward to it.,Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
34,2,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.",Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
35,2,Make it move.,Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
36,2,Move!,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
37,2,MOVE!,Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
38,2,He's asleep!,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
39,2,He's boring.,Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
40,2,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either.",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
41,2,"Mummy, dad, come here! You won't believe what this snake is doing!",Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
42,2,Whoa! Ahh! Ahh!!,Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
43,2,Thanks.,Student,161,,,,,,,8,4 Privet Drive,Dwellings
44,2,Anytime.,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
45,2,SNAKE!,Man,139,,,,,,,8,4 Privet Drive,Dwellings
46,2,"Mum, mummy!",Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
47,2,AHH!,Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
48,2,"Mum, help! Help me!",Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
